data,tor,dystans,kat.,jeździec,waga,trener,mc,wygrana
 28.09.2019,Warszawa,1600 m,II, dż. S. Mazur,58,K. Ziemiański,1 / 7,7 500 zł
 14.09.2019,Warszawa,1600 m,IV, dż. S. Mazur,60,K. Ziemiański,1 / 10,6 500 zł
 25.08.2019,Warszawa,2000 m,III, dż. S. Mazur,58,K. Ziemiański,4 / 7,750 zł
 03.08.2019,Warszawa,2000 m,IV, dż. S. Mazur,59,K. Ziemiański,4 / 11,650 zł
 22.06.2019,Warszawa,1600 m,III, st. u. K. Mazur ,60,K. Ziemiański,2 / 7,3 000 zł
 08.06.2019,Warszawa,2000 m,III, dż. M. Srnec,59½,K. Ziemiański,1 / 10,7 500 zł
 18.05.2019,Warszawa,1600 m,III, pr. dż. O. Szarłat,56,K. Ziemiański,6 / 10,0 zł
 18.11.2018,Warszawa,1400 m,III, k. dż. D. Liška,60,M. Boruta,9 / 10,0 zł
 03.11.2018,Warszawa,1800 m,III, dż. A. Kabardov,58½,M. Boruta,8 / 8,0 zł
 13.10.2018,Warszawa,1800 m,III, dż. A. Kabardov,58,M. Boruta,3 / 7,1 400 zł
 30.09.2018,Warszawa,1800 m,III, dż. T. Lukašek,57,M. Boruta,6 / 9,0 zł
 25.08.2018,Warszawa,1600 m,IV, pr. dż. H. Mammadov,61,M. Boruta,1 / 7,6 000 zł
 29.07.2018,Warszawa,1800 m,IV, dż. A. Kabardov,59,M. Boruta,11 / 13,0 zł
 01.07.2018,Warszawa,2000 m,I, dż. A. Turgaev,56,M. Boruta,6 / 7,0 zł
 16.06.2018,Warszawa,2000 m,III, dż. A. Turgaev,58,M. Boruta,2 / 9,2 800 zł
 13.05.2018,Warszawa,1800 m,II, dż. A. Kabardov,53,M. Boruta,4 / 6,900 zł
 18.11.2017,Warszawa,1300 m,II, dż. A. Kabardov,58,M. Boruta,1 / 9,9 000 zł
 11.11.2017,Warszawa,1400 m,I, dż. A. Kabardov,57,M. Boruta,5 / 7,530 zł
 15.10.2017,Warszawa,1300 m,II, pr. dż. D. Pantchev,56,M. Boruta,5 / 9,450 zł
 30.09.2017,Warszawa,1200 m,II, dż. W. Szymczuk,57,M. Boruta,10 / 13,0 zł
 09.09.2017,Warszawa,1400 m,II, dż. A. Kabardov,56,M. Boruta,5 / 9,450 zł
 27.08.2017,Warszawa,1300 m,, dż. A. Kabardov,56,M. Boruta,8 / 9,0 zł
 29.10.2017,Warszawa,1300 m,III, dż. A. Turgaev,54½,D. Mioduszewski,6 / 6,0 zł
 15.10.2017,Wrocław,1907 m,III, dż. A. Reznikov,59,D. Mioduszewski,7 / 7,0 zł
 01.10.2017,Warszawa,2200 m,IV, dż. M. Abik ,54½,D. Mioduszewski,4 / 7,600 zł
 10.09.2017,Wrocław,1400 m,III, dż. D. Petryakov,62½,D. Mioduszewski,8 / 11,0 zł
 03.09.2017,Drezno,1500 m,, L.-M. Engels,54,D. Mioduszewski,8 / 11,0 zł*
 03.09.2017,Drezno,1500 m,, L.-M. Engels,54,D. Mioduszewski,0 / 11,0 zł*
 12.08.2017,Hoppegarten,1800 m,, dż. M. Seidl,56,D. Mioduszewski,12 / 12,0 zł*
 12.08.2017,Hoppegarten,1800 m,, dż. M. Seidl,56,D. Mioduszewski,0 / 12,0 zł*
 26.07.2017,Hoppegarten,1400 m,, dż. B. Murzabayev,60½,D. Mioduszewski,0 / 11,0 zł*
 26.07.2017,Hoppegarten,1400 m,, dż. B. Murzabayev,60½,D. Mioduszewski,11 / 11,0 zł*
